Organization,Designation,Division,District,Upazila,Employee,"Employee mobile",Email,"Organization contact"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চাটমোহর, পাবনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,পাবনা,চাট্‌মোহর,,,,"চাটমোহর, পাবনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ফরিদপুর, পাবনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,পাবনা,ফরিদপুর,,,,"ফরিদপুর, পাবনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ঈশ্বরদী, পাবনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,পাবনা,ঈশ্বরদী,,,,"ঈশ্বরদী, পাবনা"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রাজশাহী,পাবনা,"পাবনা সদর",,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সাথিয়া, পাবনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,পাবনা,সাঁথিয়া,,,,"সাথিয়া, পাবনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সুজানগর, পাবনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,পাবনা,সুজানগর,,,,"সুজানগর, পাবনা"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রাজশাহী,রাজশাহী,বাঘা,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাঘা, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,বাঘা,,,,"বাঘা, রাজশাহী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাগমারা, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,বাগমারা,,,,"বাগমারা, রাজশাহী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চারঘাট, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,চারঘাট,,,,"চারঘাট, রাজশাহী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দূর্গাপুর, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,দূর্গাপুর,,,,"দূর্গাপুর, রাজশাহী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গোদাগাড়ি, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,গোদাগাড়ী,,,,"গোদাগাড়ি, রাজশাহী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মোহনপুর, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,মোহনপুর,,,,"মোহনপুর, রাজশাহী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পবা, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,পবা,,,,"পবা, রাজশাহী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পুটিয়া, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,পুঠিয়া,,,,"পুটিয়া, রাজশাহী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তানোর, রাজশাহী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,রাজশাহী,তানোর,,,,"তানোর, রাজশাহী"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রাজশাহী,সিরাজগঞ্জ,বেলকুচি,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বেলকুচি, সিরাজগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,সিরাজগঞ্জ,বেলকুচি,,,,"বেলকুচি, সিরাজগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চৌহালি, সিরাজগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,সিরাজগঞ্জ,চৌহালী,,,,"চৌহালি, সিরাজগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কামারখন্দ, সিরাজগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,সিরাজগঞ্জ,কামারখন্দ,,,,"কামারখন্দ, সিরাজগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাজীপুর, সিরাজগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,সিরাজগঞ্জ,কাজীপুর,,,,"কাজীপুর, সিরাজগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রায়গঞ্জ, সিরাজগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,সিরাজগঞ্জ,রায়গঞ্জ,,,,"রায়গঞ্জ, সিরাজগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শাহজাদপুর, সিরাজগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,সিরাজগঞ্জ,শাহাজাদপুর,,,,"শাহজাদপুর, সিরাজগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তারাশ, সিরাজগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,সিরাজগঞ্জ,তাড়াশ,,,,"তারাশ, সিরাজগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,উল্লাপাড়া, সিরাজগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,সিরাজগঞ্জ,"উল্লা পাড়া",,,,"উল্লাপাড়া, সিরাজগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নবাবগঞ্জ, ঢাকা।","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,নবাবগঞ্জ,,,,"নবাবগঞ্জ, ঢাকা।"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রংপুর,দিনাজপুর,নবাবগঞ্জ,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বিরামপুর, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,বিরামপুর,,,,"বিরামপুর, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বীরগঞ্জ, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,বীরগঞ্জ,,,,"বীরগঞ্জ, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বিরল, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,বিরল,,,,"বিরল, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বোচাগঞ্জ, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,বোচাগঞ্জ,,,,"বোচাগঞ্জ, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চিরিরবন্দর, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,চিরিরবন্দর,,,,"চিরিরবন্দর, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ফুলবাড়ী, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,ফুলবাড়ী,,,,"ফুলবাড়ী, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ঘোড়াঘাট, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,ঘোড়াঘাট,,,,"ঘোড়াঘাট, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,হাকিমপুর, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,হাকিমপুর,,,,"হাকিমপুর, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাহারোল, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,কাহারোল,,,,"কাহারোল, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,খানসামা, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,খান্‌সামা,,,,"খানসামা, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নবাবগঞ্জ, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,নবাবগঞ্জ,,,,"নবাবগঞ্জ, দিনাজপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পাবর্তীপুর, দিনাজপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,দিনাজপুর,পার্বতীপুর,,,,"পাবর্তীপুর, দিনাজপুর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রংপুর,গাইবান্ধা,ফুলছড়ি,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ফুলছড়ি, গাইবান্ধা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,গাইবান্ধা,ফুলছড়ি,,,,"ফুলছড়ি, গাইবান্ধা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গোবিন্দগঞ্জ, গাইবান্ধা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,গাইবান্ধা,গোবিন্দগঞ্জ,,,,"গোবিন্দগঞ্জ, গাইবান্ধা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পলাশবাড়ী, গাইবান্ধা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,গাইবান্ধা,পলাশবাড়ী,,,,"পলাশবাড়ী, গাইবান্ধা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সাদুল্লাপুর, গাইবান্ধা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,গাইবান্ধা,সাদুল্লাপুর,,,,"সাদুল্লাপুর, গাইবান্ধা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সাঘাটা, গাইবান্ধা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,গাইবান্ধা,সাঘাটা,,,,"সাঘাটা, গাইবান্ধা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সুন্দরগঞ্জ, গাইবান্ধা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,গাইবান্ধা,সুন্দরগঞ্জ,,,,"সুন্দরগঞ্জ, গাইবান্ধা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ভুরুঙ্গমারী, কুড়িগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,কুড়িগ্রাম,ভুরুংগামারী,,,,"ভুরুঙ্গমারী, কুড়িগ্রাম"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রংপুর,কুড়িগ্রাম,ভুরুংগামারী,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রাজিবপুর, কুড়িগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,কুড়িগ্রাম,রাজিবপুর,,,,"রাজিবপুর, কুড়িগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চিলমারী, কুড়িগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,কুড়িগ্রাম,চিলমারী,wwe,015656565656,email@email.com,"চিলমারী, কুড়িগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ফুলবাড়ী, কুড়িগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,কুড়িগ্রাম,ফুলবাড়ী,,,,"ফুলবাড়ী, কুড়িগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নাগেশ্বরী, কুড়িগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,কুড়িগ্রাম,নাগেশ্বরী,,,,"নাগেশ্বরী, কুড়িগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রাজারহাট, কুড়িগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,কুড়িগ্রাম,রাজারহাট,,,,"রাজারহাট, কুড়িগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রৌমারী, কুড়িগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,কুড়িগ্রাম,রৌমারী,,,,"রৌমারী, কুড়িগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,উলিপুর, কুড়িগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,কুড়িগ্রাম,উলিপুর,,,,"উলিপুর, কুড়িগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আদিতমারী, লালমনিরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,লালমনিরহাট,আদিতমারী,,,,"আদিতমারী, লালমনিরহাট"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রংপুর,লালমনিরহাট,আদিতমারী,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,হাতীবান্ধা, লালমনিরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,লালমনিরহাট,হাতীবান্ধা,,,,"হাতীবান্ধা, লালমনিরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালীগঞ্জ, লালমনিরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,লালমনিরহাট,কালীগঞ্জ,,,,"কালীগঞ্জ, লালমনিরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালিগঞ্জ, লালমনিরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,লালমনিরহাট,কালীগঞ্জ,,,,"কালিগঞ্জ, লালমনিরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পাটগ্রাম, লালমনিরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,লালমনিরহাট,পাটগ্রাম,,,,"পাটগ্রাম, লালমনিরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ডিমলা, নীলফামারী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,নীলফামারী,ডিমলা,,,,"ডিমলা, নীলফামারী"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রংপুর,নীলফামারী,ডিমলা,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,জলঢাকা, নীলফামারী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,নীলফামারী,জলঢাকা,,,,"জলঢাকা, নীলফামারী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কিশোরগঞ্জ, নীলফামারী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,নীলফামারী,কিশোরগঞ্জ,,,,"কিশোরগঞ্জ, নীলফামারী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সৈয়দপুর, নীলফামারী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,নীলফামারী,সৈয়দপুর,,,,"সৈয়দপুর, নীলফামারী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আটোয়ারী, পঞ্চগড়","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,পঞ্চগড়,আটোয়ারী,,,,"আটোয়ারী, পঞ্চগড়"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রংপুর,পঞ্চগড়,আটোয়ারী,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বোদা, পঞ্চগড়","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,পঞ্চগড়,বোদা,,,,"বোদা, পঞ্চগড়"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দেবীগঞ্জ, পঞ্চগড়","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,পঞ্চগড়,দেবীগঞ্জ,,,,"দেবীগঞ্জ, পঞ্চগড়"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তেতুলিয়া, পঞ্চগড়","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,পঞ্চগড়,তেঁতুলিয়া,,,,"তেতুলিয়া, পঞ্চগড়"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রংপুর,রংপুর,বদরগঞ্জ,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বন্দরগঞ্জ, রংপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,রংপুর,বদরগঞ্জ,,,,"বন্দরগঞ্জ, রংপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গংগাচড়া, রংপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,রংপুর,গংগাচড়া,,,,"গংগাচড়া, রংপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাউনিয়া, রংপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,রংপুর,কাউনিয়া,,,,"কাউনিয়া, রংপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মিঠাপুকুর, রংপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,রংপুর,মিঠাপুকুর,,,,"মিঠাপুকুর, রংপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পীরগাছা, রংপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,রংপুর,পীরগাছা,,,,"পীরগাছা, রংপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পীরগঞ্জ, রংপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,রংপুর,পীরগঞ্জ,,,,"পীরগঞ্জ, রংপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তারাগঞ্জ, রংপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,রংপুর,তারাগঞ্জ,,,,"তারাগঞ্জ, রংপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বালিয়াডাঙ্গি, ঠাকুরগাঁও","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,ঠাকুরগাঁও,বালিয়াডাংগী,,,,"বালিয়াডাঙ্গি, ঠাকুরগাঁও"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রংপুর,ঠাকুরগাঁও,বালিয়াডাংগী,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,হরিপুর, ঠাকুরগাঁও","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,ঠাকুরগাঁও,হরিপুর,,,,"হরিপুর, ঠাকুরগাঁও"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পীরগঞ্জ, ঠাকুরগাঁও","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,ঠাকুরগাঁও,পীরগঞ্জ,,,,"পীরগঞ্জ, ঠাকুরগাঁও"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রানীশংকৈল, ঠাকুরগাঁও","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রংপুর,ঠাকুরগাঁও,রানীশংকাইল,,,,"রানীশংকৈল, ঠাকুরগাঁও"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,বাগেরহাট,"বাগেরহাট সদর",,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চিতলমারী, বাগেরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,বাগেরহাট,চিতলমারী,,,,"চিতলমারী, বাগেরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ফকিরহাট, বাগেরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,বাগেরহাট,ফকিরহাট,,,,"ফকিরহাট, বাগেরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কচুয়া, বাগেরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,বাগেরহাট,কচুয়া,,,,"কচুয়া, বাগেরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মোল্লারহাট, বাগেরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,বাগেরহাট,মোল্লাহাট,,,,"মোল্লারহাট, বাগেরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মংলা, বাগেরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,বাগেরহাট,মোংলা,,,,"মংলা, বাগেরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মোড়েলগঞ্জ, বাগেরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,বাগেরহাট,মোড়লগঞ্জ,,,,"মোড়েলগঞ্জ, বাগেরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রামপাল, বাগেরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,বাগেরহাট,রামপাল,,,,"রামপাল, বাগেরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শরলখোলা, বাগেরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,বাগেরহাট,শরণখোলা,,,,"শরলখোলা, বাগেরহাট"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,চুয়াডাঙ্গা,আলমডাংগা,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আলমডাঙ্গা, চুয়াডাঙ্গা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,চুয়াডাঙ্গা,আলমডাংগা,,,,"আলমডাঙ্গা, চুয়াডাঙ্গা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দামুড়হুদা, চুয়াডাঙ্গা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,চুয়াডাঙ্গা,দামুরহুদা,,,,"দামুড়হুদা, চুয়াডাঙ্গা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,জীবননগর, চুয়াডাঙ্গা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,চুয়াডাঙ্গা,"জীবন নগর",,,,"জীবননগর, চুয়াডাঙ্গা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,অভয়নগর, যশোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,যশোর,অভয়নগর,,,,"অভয়নগর, যশোর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,যশোর,অভয়নগর,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাঘারপাড়া, যশোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,যশোর,বাঘারপাড়া,,,,"বাঘারপাড়া, যশোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চৌগাছা, যশোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,যশোর,চৌগাছা,,,,"চৌগাছা, যশোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ঝিকরগাছা, যশোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,যশোর,ঝিকরগাছা,,,,"ঝিকরগাছা, যশোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কেশবপুর, যশোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,যশোর,কেশবপুর,,,,"কেশবপুর, যশোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মনিরামপুর, যশোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,যশোর,মনিরামপুর,,,,"মনিরামপুর, যশোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শার্শা, যশোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,যশোর,শার্শা,,,,"শার্শা, যশোর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,ঝিনাইদাহ,হরিনাকুন্ডু,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,হরিণাকুন্ডু, ঝিনাইদহ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,ঝিনাইদাহ,হরিনাকুন্ডু,,,,"হরিণাকুন্ডু, ঝিনাইদহ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালীগঞ্জ, ঝিনাইদহ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,ঝিনাইদাহ,কালীগঞ্জ,,,,"কালীগঞ্জ, ঝিনাইদহ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কোটচাঁদপুর, ঝিনাইদহ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,ঝিনাইদাহ,কোটচাঁদপুর,,,,"কোটচাঁদপুর, ঝিনাইদহ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মহেশপুর, ঝিনাইদহ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,ঝিনাইদাহ,মহেশপুর,,,,"মহেশপুর, ঝিনাইদহ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শৈলকুপা, ঝিনাইদহ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,ঝিনাইদাহ,শৈলকুপা,,,,"শৈলকুপা, ঝিনাইদহ"
"উপপরিচালকের কার্যালয়",উপপরিচালক,খুলনা,খুলনা,বটিয়াঘাটা,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বটিয়াঘাটা, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,বটিয়াঘাটা,,,,"বটিয়াঘাটা, খুলনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দা-কোপ, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,দাকোপ,,,,"দা-কোপ, খুলনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ডুমুরিয়া, খুলনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",খুলনা,খুলনা,ডুমুরিয়া,,,,"ডুমুরিয়া, খুলনা"
